meter_id,building_id,meter_type
5bc57436-5a8b-ee11-8179-6045bd8f995d,2bac4e41-e68f-ee11-8179-6045bd8f995d,Heating
faaebf36-5a8b-ee11-8179-6045bd8f95b7,2bac4e41-e68f-ee11-8179-6045bd8f995d,Electricity
