weatherstation_id,fmis_id,weatherstation_name
41d7246d-b747-ec11-8c62-6045bd8ee4f4,101289,Kauhajoki Kuja-Kokko
afd6d26e-b747-ec11-8c62-6045bd8ba7a7,101231,Virolahti Koivuniemi
fdd6246d-b747-ec11-8c62-6045bd8ee4f4,101291,Kankaanpää Niinisalo lentokenttä
b8d6d26e-b747-ec11-8c62-6045bd8ba7a7,778578,Rauma Sinisaari
97211d73-b747-ec11-8c62-6045bd8ee4f4,104053,Helsinki Katajanokka 2
f6d6d26e-b747-ec11-8c62-6045bd8ba7a7,103149,Mikkeli Porrassalmenkatu
79d7246d-b747-ec11-8c62-6045bd8ee4f4,137190,Rovaniemi lentoasema AWOS
ecd6d26e-b747-ec11-8c62-6045bd8ba7a7,100967,Salo Kiikala lentokenttä
e4d6d26e-b747-ec11-8c62-6045bd8ba7a7,101976,Enontekiö lentoasema
cb211d73-b747-ec11-8c62-6045bd8ee4f4,107164,Kotka Mussalo satama/siirrettävä
b3d6d26e-b747-ec11-8c62-6045bd8ba7a7,101118,Pirkkala Tampere-Pirkkala lentoasema
a6d6d26e-b747-ec11-8c62-6045bd8ba7a7,101537,Viitasaari Haapaniemi
a2d6d26e-b747-ec11-8c62-6045bd8ba7a7,101599,Rautavaara Ala-Luosta
68d7246d-b747-ec11-8c62-6045bd8ee4f4,101982,Muonio Laukukero
7fd6d26e-b747-ec11-8c62-6045bd8ba7a7,101191,Kouvola Utti lentoasema
3dd7246d-b747-ec11-8c62-6045bd8ee4f4,100921,Kökar Bogskär
c4d6d26e-b747-ec11-8c62-6045bd8ba7a7,134221,Suomenlahti aaltopoiju
acd6d26e-b747-ec11-8c62-6045bd8ba7a7,102012,Salla Värriötunturi
79d6d26e-b747-ec11-8c62-6045bd8ba7a7,101726,Vieremä Kaarakkala
72d7246d-b747-ec11-8c62-6045bd8ee4f4,101898,Kuusamo Teeriranta
51d7246d-b747-ec11-8c62-6045bd8ee4f4,101897,Kuusamo Rukatunturi
2cd7246d-b747-ec11-8c62-6045bd8ee4f4,101616,Lieksa Koli
03d7d26e-b747-ec11-8c62-6045bd8ba7a7,103116,Lappeenranta keskusta 4
b5211d73-b747-ec11-8c62-6045bd8ee4f4,104097,Nastola Kukkasen koulu
7b211d73-b747-ec11-8c62-6045bd8ee4f4,103102,Varkaus Taulumäki (toripaviljonki)
29d7d26e-b747-ec11-8c62-6045bd8ba7a7,106420,Pori Paanakedonkatu
14d7d26e-b747-ec11-8c62-6045bd8ba7a7,104078,Kouvola Kankaan Koulu
d5211d73-b747-ec11-8c62-6045bd8ee4f4,107383,Maarianhamina Lotsberget
ded6246d-b747-ec11-8c62-6045bd8ee4f4,134253,Hanko Pikku Kolalahti
e6d6d26e-b747-ec11-8c62-6045bd8ba7a7,101690,Ylivieska lentokenttä
86d6d26e-b747-ec11-8c62-6045bd8ba7a7,101398,Mikkeli lentoasema
ab211d73-b747-ec11-8c62-6045bd8ee4f4,103132,Lahti Saimaankatu
cd211d73-b747-ec11-8c62-6045bd8ee4f4,107148,Espoo Otaniemi Kehä I
95211d73-b747-ec11-8c62-6045bd8ee4f4,103096,Tampere Epila 2
53d7246d-b747-ec11-8c62-6045bd8ee4f4,103143,Harjavalta Pirkkala
d1211d73-b747-ec11-8c62-6045bd8ee4f4,107282,Lahti Mustamäenkatu
dcd6d26e-b747-ec11-8c62-6045bd8ba7a7,101268,Kristiinankaupunki Majakka
13d7d26e-b747-ec11-8c62-6045bd8ba7a7,104076,Vantaa Kehä III Varisto
87211d73-b747-ec11-8c62-6045bd8ee4f4,103103,Vaasa Vesitorni
32abd474-b747-ec11-8c62-6045bd8ba7a7,106948,Helsinki Länsisatama 4
78d6d26e-b747-ec11-8c62-6045bd8ba7a7,101446,Enonkoski Simanala
2bd7246d-b747-ec11-8c62-6045bd8ee4f4,101390,Joutsa Pärnämäki
48abd474-b747-ec11-8c62-6045bd8ba7a7,107281,Vantaa Ylästö
1dd7d26e-b747-ec11-8c62-6045bd8ba7a7,874863,Espoo Tapiola
94d6d26e-b747-ec11-8c62-6045bd8ba7a7,101712,Kiuruvesi Korpijoki
dcd6246d-b747-ec11-8c62-6045bd8ee4f4,100971,Helsinki Kaisaniemi
bb211d73-b747-ec11-8c62-6045bd8ee4f4,106630,Raisio Ihala
b6d6d26e-b747-ec11-8c62-6045bd8ba7a7,103145,Raahe Lapaluoto
a7d6d26e-b747-ec11-8c62-6045bd8ba7a7,101743,Nurmes Valtimo
1ed7246d-b747-ec11-8c62-6045bd8ee4f4,102019,Enontekiö Näkkälä
40abd474-b747-ec11-8c62-6045bd8ba7a7,107218,Kemi Keskusta
d5d6d26e-b747-ec11-8c62-6045bd8ba7a7,105302,Siuntio Sjundby
c3d6d26e-b747-ec11-8c62-6045bd8ba7a7,103108,Kokkola Ykspihlaja
95d6d26e-b747-ec11-8c62-6045bd8ba7a7,101683,Kalajoki Pitkäsenkylä
9cd6d26e-b747-ec11-8c62-6045bd8ba7a7,101272,Karvia Alkkia
60d7246d-b747-ec11-8c62-6045bd8ee4f4,102102,Kuopio Kasarmipuisto
dad6d26e-b747-ec11-8c62-6045bd8ba7a7,103120,Lappeenranta Pulp
8f211d73-b747-ec11-8c62-6045bd8ee4f4,104058,Hyvinkää
b6211d73-b747-ec11-8c62-6045bd8ee4f4,104099,Siilinjärvi Pahkamäki
7c211d73-b747-ec11-8c62-6045bd8ee4f4,101939,Sodankylä Luosto
ddd6246d-b747-ec11-8c62-6045bd8ee4f4,100919,Hammarland Märket
b4d6d26e-b747-ec11-8c62-6045bd8ba7a7,101478,Kurikka Pyörni
43d7246d-b747-ec11-8c62-6045bd8ee4f4,101188,Hämeenlinna Kotinen
c5211d73-b747-ec11-8c62-6045bd8ee4f4,106954,Kuopio Savilahti KYS
d0d6d26e-b747-ec11-8c62-6045bd8ba7a7,102009,Inari Raja-Jooseppi
8b211d73-b747-ec11-8c62-6045bd8ee4f4,101536,Multia Karhila
3cabd474-b747-ec11-8c62-6045bd8ba7a7,107201,Tervola Loue
f1d6246d-b747-ec11-8c62-6045bd8ee4f4,101104,Jokioinen Ilmala
9ad6d26e-b747-ec11-8c62-6045bd8ba7a7,102035,Utsjoki Kevo
a3211d73-b747-ec11-8c62-6045bd8ee4f4,137188,Ilmajoki Seinäjoki lentoasema
6ad6d26e-b747-ec11-8c62-6045bd8ba7a7,101135,Vihti Hiiskula
67d7246d-b747-ec11-8c62-6045bd8ee4f4,102006,Inari Saariselkä Kaunispää
aed6d26e-b747-ec11-8c62-6045bd8ba7a7,101093,Pöytyä Yläne
a5211d73-b747-ec11-8c62-6045bd8ee4f4,150168,Puumala kirkonkylä
a0211d73-b747-ec11-8c62-6045bd8ee4f4,100882,Kuopio Haminalahti
28abd474-b747-ec11-8c62-6045bd8ba7a7,106631,Uusikaupunki Vekara
e9d6d26e-b747-ec11-8c62-6045bd8ba7a7,103128,Jyväskylä Palokka 2
3bd7246d-b747-ec11-8c62-6045bd8ee4f4,103130,Lahti Kisapuisto
8bd6d26e-b747-ec11-8c62-6045bd8ba7a7,102052,Inari Nellim
67d6d26e-b747-ec11-8c62-6045bd8ba7a7,101385,Kangasniemi kirkonkylä
62d6d26e-b747-ec11-8c62-6045bd8ba7a7,101049,Uusikaupunki Itätulli
01d7246d-b747-ec11-8c62-6045bd8ee4f4,101305,Alavus Sulkavankylä
9a211d73-b747-ec11-8c62-6045bd8ee4f4,104064,Parainen
19d7d26e-b747-ec11-8c62-6045bd8ba7a7,806428,Kuusamo Ruka Talvijärvi
71d7246d-b747-ec11-8c62-6045bd8ee4f4,101248,Ruokolahti Kotaniemi
e8d6246d-b747-ec11-8c62-6045bd8ee4f4,100540,Raahe Lapaluoto
7bd6d26e-b747-ec11-8c62-6045bd8ba7a7,100976,Vihti Maasoja
25d7d26e-b747-ec11-8c62-6045bd8ba7a7,103976,Helsinki Suomenlinna aaltopoiju
97d6d26e-b747-ec11-8c62-6045bd8ba7a7,101662,Kruunupyy Kokkola-Pietarsaari lentoasema
99211d73-b747-ec11-8c62-6045bd8ee4f4,101485,Vaasa Klemettilä
a7211d73-b747-ec11-8c62-6045bd8ee4f4,151029,Maarianhamina Länsisatama
89211d73-b747-ec11-8c62-6045bd8ee4f4,101799,Oulu Oulunsalo Pellonpää
8cd6d26e-b747-ec11-8c62-6045bd8ba7a7,100968,Vantaa Helsinki-Vantaan lentoasema
f7d6d26e-b747-ec11-8c62-6045bd8ba7a7,100742,Helsinki Mannerheimintie
cdd6d26e-b747-ec11-8c62-6045bd8ba7a7,104188,Varkaus kaupungintalo
07d7d26e-b747-ec11-8c62-6045bd8ba7a7,102055,Inari Kirakkajärvi
33abd474-b747-ec11-8c62-6045bd8ba7a7,106951,Vantaa Tikkurila Talvikkitie
7dd6d26e-b747-ec11-8c62-6045bd8ba7a7,101933,Rovaniemi Apukka
58d7246d-b747-ec11-8c62-6045bd8ee4f4,102017,Enontekiö Kilpisjärvi Saana
7e211d73-b747-ec11-8c62-6045bd8ee4f4,104017,Siilinjärvi Sorakuja
4bd7246d-b747-ec11-8c62-6045bd8ee4f4,103123,Lappeenranta Tirilä Pekkasenkatu
2babd474-b747-ec11-8c62-6045bd8ba7a7,105425,Siilinjärvi Musti
74d6d26e-b747-ec11-8c62-6045bd8ba7a7,101425,Sulkava Halttula
4dabd474-b747-ec11-8c62-6045bd8ba7a7,107382,Varkaus Kommila
c0d6d26e-b747-ec11-8c62-6045bd8ba7a7,101061,Rauma Kylmäpihlaja
fdd6d26e-b747-ec11-8c62-6045bd8ba7a7,101675,Kokkola Santahaka
83211d73-b747-ec11-8c62-6045bd8ee4f4,104029,Porvoo Mannerheiminkatu
22d7d26e-b747-ec11-8c62-6045bd8ba7a7,103813,Petäjävesi Kintaus
8c211d73-b747-ec11-8c62-6045bd8ee4f4,101632,Joensuu Linnunlahti
